出口国,进口国,税则号,商品名称,关税
US,CN,0103920010,重量在50千克及以上的其他野猪,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,0103920090,重量在50千克及以上的其他猪,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01041010,改良种用的绵羊,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01041090,其他绵羊,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01042010,改良种用的山羊,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01042090,非改良种用山羊,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01051110,不超过185克的改良种用鸡,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01051190,不超过185克的其他鸡,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01051210,不超过185克的改良种用火鸡,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01051290,不超过185克的其他火鸡,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01051310,不超过185克的改良种用鸭,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01051390,不超过185克的其他鸭,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01051410,不超过185克的改良种用鹅,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01051490,不超过185克的其他鹅,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01051510,不超过185克的改良种用珍珠鸡,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01051590,不超过185克的其他珍珠鸡,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01059410,超过185克改良种用鸡,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01059490,超过185克其他鸡,进口关税: 10.0 % CIF 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
US,CN,01059910,超过185克的其他改良种用家禽,进口关税: 0.0 【备注】最惠国税率 (MFN); 消费税（CONSUMPTION_TAX）: 0.0; 增值税（VAT）: 9.0 % (CIFD + CONSUMPTION_TAX)
